,device_hw_proc,device_hw_ram,device_hw_display,device_hw_video,device_os_name,device_os_version
277774,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz,32GB 1073741824,"1920x1080 96,96 32, 1920x1080 96,96 32","AMD FirePro V4900 (FireGL V), PCI\VEN_1002&DEV_6749&SUBSYS_2B061002&REV_00\4&3834D97&0&0008, \\.\DISPLAY1",Microsoft Windows 10 Home,10.0.15063  Build 15063
671109,Intel64 Family 6 Model 69 Stepping 1 Intel(R) Core(TM) i7-4600U CPU @ 2.10GHz,8GB 1073741824,"1600x900 Touch 96,96 32","Intel(R) HD Graphics Family, PCI\VEN_8086&DEV_0A16&SUBSYS_221817AA&REV_0B\3&33FD14CA&0&10",Microsoft Windows 10 企业版,10.0.15063  Build 15063
361727,Celeron(R) Dual-Core CPU       T3500  @ 2.10GHz,4GB,1366x768,Mobile Intel(R) - famiglia Express Chipset 45 (Microsoft Corporation - WDDM 1.1),Microsoft Windows 7 Ultimate ,6.1.7601 Service Pack 1 Build 7601
372486,Intel64 Family 6 Model 69 Stepping 1 Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,8GB 1073741824,"1366x768 Touch 96,96 32","Intel(R) HD Graphics Family, PCI\VEN_8086&DEV_0A16&SUBSYS_06741028&REV_0B\3&11583659&0&10",Microsoft Windows 10 Pro,10.0.10240  Build 10240
420187,Intel(R) Core(TM) i5-6600K CPU @ 3.50GHz,32GB,1920x1080,NVIDIA GeForce GTX 960,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
296055,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,16GB 2147483648,"1440x900 96,96 32","NVIDIA GeForce GT 520, PCI\VEN_10DE&DEV_1040&SUBSYS_000010DE&REV_A1\4&33CB8F86&0&0008",Microsoft Windows 8.1 Pro,6.3.9600  Build 9600
20057,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i5-6440HQ CPU @ 2.60GHz,8GB 1073741824,"1920x1080 144,144 32, 2880x1620 144,144 32","Intel(R) HD Graphics 530, PCI\VEN_8086&DEV_191B&SUBSYS_06DE1028&REV_06\3&11583659&0&10, \\.\DISPLAY1",Microsoft Windows 10 Pro,10.0.15063  Build 15063
74786,AMD64 Family 16 Model 2 Stepping 3 AMD Athlon(tm) 7750 Dual-Core Processor,8GB,,,Microsoft Windows 7 旗舰版 ,6.1.7601 Service Pack 1 Build 7601
746884,Intel(R) Core(TM) i5-6600K CPU @ 3.50GHz,8GB,1920x1080,NVIDIA GeForce GTX 1060 6GB,Microsoft Windows 7 旗舰版 ,6.1.7601 Service Pack 1 Build 7601
504998,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i5-6440HQ CPU @ 2.60GHz,8GB 1073741824,"1920x1080 120,120 32, 1920x1080 120,120 32","Intel(R) HD Graphics 530, PCI\VEN_8086&DEV_191B&SUBSYS_06DE1028&REV_06\3&11583659&0&10, \\.\DISPLAY1",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601
