Graphics,Market,Processor
,Mobile,Core 2 Duo Uxxxx
,Desktop,Core2 Quad Qxxxx
,Desktop,Pentium G20x0
,Desktop,Pentium G21x0
,Desktop,Pentium Dual E21x0
,Desktop,Pentium Dual E22x0
,Mobile,Pentium Dual T2xxx
,Mobile,Pentium Dual T23x0
,Mobile,Pentium Dual T3x00
,Desktop,Pentium Dual-Core Exxxx
,Mobile,Pentium Dual-Core Txxxx
,Server,Xeon E312xx
,Mobile,Core i7-3540M
,Desktop,Core i7-4785T
,Mobile,Core i3-3130M
,Desktop,Atom D2x00
,Desktop,Atom D525
,Desktop,Atom D425
,Mobile,Atom N570
,Mobile,Atom N550
,Mobile,Atom N475
,Mobile,Atom N470
,Mobile,Atom N455
,Mobile,Atom N450
,Mobile,Core i3- U 380
,Mobile,Core i7- L 6x0
,Mobile,Core i7-3940XM
,Server,Xeon E5345
,Server,Xeon E5410
,Server,Xeon E5450
,Server,Xeon E5430
,Mobile,Pentium 2127U
,Mobile,Pentium 3560M
,Server,Xeon L5240
,Server,Xeon L5335
,Server,Xeon L5410
,Mobile,Core2 Duo U9300
,Mobile,Core2 Duo U9400
,Mobile,Core i5-32x0M
,Mobile,Core i7-4x10MQ
,Server,Xeon E3-12x5 V2
,Server,Xeon E3-1225 v3
,Server,Xeon E3-1285L v3
,Server,Xeon E3-1205 v6
,Desktop,Pentium G645T
,Desktop,Pentium G6950
,Mobile,Core i7-4940MX
,Embedded,Core i5-4570TE
,Mobile,Core i5- U5.0
,Mobile,Core i7-3689Y
,Mobile,Core i7-4602Y
,Desktop,Atom D410
,Mobile,Atom N2x00
,Mobile,Atom x7-Z8750
,Mobile,Core i5- U 470
,Mobile,Core i5- U 520
,Mobile,Core i5- U 560
